,city,lat,lon,temperature,weather_code,sunrise,sunset,moonrise,moonset,co,no2,o3,so2,pm2_5,pm10,wind_speed,wind_degree,wind_dir,pressure,precip,humidity,cloudcover,feelslike,visibility
45,Hanumangarh,29.583,74.317,22,122,07:19:00,17:35:00,01:16:00,13:18:00,739.85,10.25,121,19.75,57.15,57.85,8,114,ESE,1015,0.0,15,100,22,10
46,Surat,20.967,72.9,26,113,07:06:00,17:59:00,01:20:00,13:27:00,284.85,9.95,148,28.55,25.05,25.25,13,306,NW,1012,0.0,45,0,26,10
47,Vadodara,22.3,73.2,29,113,07:08:00,17:55:00,01:19:00,13:26:00,332.85,5.45,149,13.75,25.45,25.95,8,37,NE,1012,0.0,26,0,27,10
48,Rajkot,22.3,70.783,30,113,07:18:00,18:05:00,01:29:00,13:35:00,279.85,2.15,162,16.25,18.95,19.05,9,25,NNE,1013,0.0,16,0,27,10
49,Bhavnagar,21.767,72.15,27,122,07:11:00,18:00:00,01:23:00,13:30:00,324.85,3.15,167,12.95,20.55,20.55,8,23,NNE,1013,0.0,32,0,26,5
50,Jamnagar,22.467,70.067,27,113,07:21:00,18:07:00,01:32:00,13:38:00,218.85,4.65,138,12.95,10.25,10.35,10,343,NNW,1013,0.0,25,0,26,10
51,Junagadh,21.517,70.467,29,113,07:17:00,18:07:00,01:30:00,13:37:00,292.85,3.05,165,25.45,26.65,26.75,4,21,NNE,1012,0.0,21,0,27,10
52,Porbandar,21.633,69.6,27,113,07:21:00,18:11:00,01:34:00,13:41:00,273.85,5.55,146,11.45,18.95,19.05,14,279,W,1013,0.0,43,0,27,10
53,Dwarka,22.239,68.968,25,113,07:25:00,18:11:00,01:36:00,13:42:00,197.85,4.85,124,13.95,9.15,9.45,12,333,NNW,1014,0.0,47,0,25,10
54,Gandhinagar,23.217,72.683,26,122,07:12:00,17:55:00,01:21:00,13:27:00,334.85,5.15,137,19.85,26.95,27.25,6,55,NE,1013,0.0,32,0,25,5
55,Anand,22.567,72.933,26,122,07:09:00,17:56:00,01:20:00,13:27:00,411.85,8.65,149,17.05,29.65,29.85,6,26,NNE,1013,0.0,32,0,25,5
57,Nadiad,22.7,72.867,26,122,07:10:00,17:56:00,01:21:00,13:27:00,381.85,8.15,129,18.65,28.75,29.05,6,38,NE,1013,0.0,32,0,25,5
58,Valsad,20.633,72.933,25,113,07:06:00,17:59:00,01:20:00,13:27:00,277.85,9.95,148,28.55,25.05,25.25,14,323,NW,1012,0.0,48,0,26,10
59,Vapi,20.367,72.9,25,113,07:06:00,17:59:00,01:20:00,13:27:00,277.85,9.95,148,28.55,25.05,25.25,14,323,NW,1012,0.0,48,0,26,10
60,Navsari,20.85,72.917,25,113,07:06:00,17:59:00,01:20:00,13:27:00,264.85,9.95,148,28.55,25.05,25.25,14,315,NW,1012,0.0,49,0,26,10
61,Thanesar,29.983,76.817,19,122,07:10:00,17:24:00,01:06:00,13:07:00,912.85,7.45,194,34.15,100.75,101.85,4,349,NNW,1016,0.0,35,100,19,10
63,Kalyan,19.25,73.15,30,122,07:02:00,18:01:00,01:19:00,13:27:00,259.85,6.95,167,11.65,20.15,20.75,9,307,NW,1011,0.0,35,0,28,4
64,Ulhasnagar,19.217,73.15,30,122,07:02:00,18:01:00,01:19:00,13:27:00,240.85,6.95,167,11.65,20.15,20.75,9,304,WNW,1011,0.0,35,0,29,4
65,Aurangabad,19.883,75.333,27,143,06:54:00,17:51:00,01:10:00,13:18:00,245.85,1.55,158,15.05,22.05,22.35,6,102,ESE,1015,0.0,39,0,26,4
66,Jalgaon,21.049,76.534,25,113,06:51:00,17:44:00,01:04:00,13:12:00,264.85,3.85,153,25.95,26.65,26.85,7,29,NNE,1013,0.0,27,0,24,10
67,Akola,20.733,77.0,25,113,06:49:00,17:43:00,01:03:00,13:11:00,312.85,5.05,150,18.65,22.55,22.75,9,49,NE,1013,0.0,26,0,24,10
68,Amravati,20.933,77.75,24,113,06:47:00,17:40:00,01:00:00,13:07:00,229.85,5.35,146,17.25,21.85,22.05,4,66,ENE,1013,0.0,30,0,24,10
69,Solapur,17.683,75.917,31,113,06:48:00,17:53:00,01:07:00,13:16:00,265.85,2.15,179,14.15,20.45,21.55,10,69,ENE,1014,0.0,22,0,29,6
70,Kolhapur,16.7,74.217,27,113,06:53:00,18:02:00,01:14:00,13:24:00,282.85,2.45,171,16.05,20.25,21.25,6,93,E,1014,0.0,20,0,26,6
71,Sangli,37.2,118.55,-1,113,07:12:00,16:48:00,00:44:00,12:44:00,331.85,18.45,39,23.35,9.75,10.25,16,285,WNW,1028,0.0,74,9,-6,10
72,Satara,17.683,73.983,23,113,06:56:00,18:01:00,01:15:00,13:24:00,233.85,1.45,164,9.95,16.75,17.25,7,47,NE,1013,0.0,28,0,24,10
73,Ratnagiri,16.983,73.3,26,113,06:57:00,18:05:00,01:18:00,13:27:00,243.85,2.95,178,14.35,21.55,23.65,14,319,NW,1011,0.0,51,0,26,10
